학번,이름,이메일,폰번호,보호자폰번호
30406,전도윤,s30406@sungui.hs.kr,010-7881-1564,010-1054-5357
30407,이서현,s30407@sungui.hs.kr,010-1564-5985,010-5357-7806
30408,신지민,s30408@sungui.hs.kr,010-5985-7796,010-7806-1523
30409,류지아,s30409@sungui.hs.kr,010-7796-7693,010-1523-9348
30410,류민준,s30410@sungui.hs.kr,010-7693-1136,010-9348-1352
30501,김지호,s30501@sungui.hs.kr,010-1136-2677,010-1352-4858
30502,정서연,s30502@sungui.hs.kr,010-2677-5366,010-4858-8630
30503,서서준,s30503@sungui.hs.kr,010-5366-1418,010-8630-4516
30504,이하은,s30504@sungui.hs.kr,010-1418-6497,010-4516-9379
30505,황수아,s30505@sungui.hs.kr,010-6497-7512,010-9379-5667
30506,류민재,s30506@sungui.hs.kr,010-7512-4179,010-5667-1597
30507,장예준,s30507@sungui.hs.kr,010-4179-1793,010-1597-9381
30508,박민서,s30508@sungui.hs.kr,010-1793-5156,010-9381-4363
30509,오수민,s30509@sungui.hs.kr,010-5156-9919,010-4363-8526
30510,손민준,s30510@sungui.hs.kr,010-9919-1141,010-8526-3901
30601,김우진,s30601@sungui.hs.kr,010-1141-3993,010-3901-1391
30602,장수아,s30602@sungui.hs.kr,010-3993-7487,010-1391-9067
30603,류수아,s30603@sungui.hs.kr,010-7487-7379,010-9067-6777
30604,송민서,s30604@sungui.hs.kr,010-7379-5164,010-6777-8059
30605,오지민,s30605@sungui.hs.kr,010-5164-7935,010-8059-4921
30606,전지아,s30606@sungui.hs.kr,010-7935-7674,010-4921-3058
30607,류예준,s30607@sungui.hs.kr,010-7674-1839,010-3058-7112
30608,박민서,s30608@sungui.hs.kr,010-1839-5072,010-7112-6121
30609,오민준,s30609@sungui.hs.kr,010-5072-1141,010-6121-2733
30610,김지수,s30610@sungui.hs.kr,010-1141-9226,010-2733-2883
30701,문서진,s30701@sungui.hs.kr,010-9226-4945,010-2883-2167
30702,한민서,s30702@sungui.hs.kr,010-4945-5178,010-2167-3987
30703,오서준,s30703@sungui.hs.kr,010-5178-1387,010-3987-9880
30704,이민지,s30704@sungui.hs.kr,010-1387-6273,010-9880-3221
30705,권다현,s30705@sungui.hs.kr,010-6273-9405,010-3221-7664
30706,양시우,s30706@sungui.hs.kr,010-9405-2017,010-7664-8814
30707,박하은,s30707@sungui.hs.kr,010-2017-6508,010-8814-1723
30708,황채은,s30708@sungui.hs.kr,010-6508-8337,010-1723-7275
30709,홍수아,s30709@sungui.hs.kr,010-8337-7482,010-7275-8947
30710,류채원,s30710@sungui.hs.kr,010-7482-7139,010-8947-7454
30801,송하은,s30801@sungui.hs.kr,010-7139-6564,010-7454-8109
30802,황윤서,s30802@sungui.hs.kr,010-6564-7051,010-8109-1662
30803,안예린,s30803@sungui.hs.kr,010-7051-9651,010-1662-4351
30804,손예준,s30804@sungui.hs.kr,010-9651-1702,010-4351-4886
30805,이현우,s30805@sungui.hs.kr,010-1702-3169,010-4886-4738
30806,조민재,s30806@sungui.hs.kr,010-3169-4177,010-4738-8943
30807,장채원,s30807@sungui.hs.kr,010-4177-7192,010-8943-2945
30808,송하윤,s30808@sungui.hs.kr,010-7192-6741,010-2945-8296
30809,황민준,s30809@sungui.hs.kr,010-6741-1062,010-8296-8149
30810,김지훈,s30810@sungui.hs.kr,010-1062-3637,010-8149-8776
30901,윤수민,s30901@sungui.hs.kr,010-3637-9883,010-8776-2140
30902,손건우,s30902@sungui.hs.kr,010-9883-3710,010-2140-1360
30903,윤현준,s30903@sungui.hs.kr,010-3710-4385,010-1360-7723
30904,임서준,s30904@sungui.hs.kr,010-4385-1333,010-7723-5074
30905,김수아,s30905@sungui.hs.kr,010-1333-7466,010-5074-4978
30906,송우진,s30906@sungui.hs.kr,010-7466-4123,010-4978-2524
30907,장민재,s30907@sungui.hs.kr,010-4123-4290,010-2524-2512
30908,임민준,s30908@sungui.hs.kr,010-4290-1065,010-2512-9646
30909,김다은,s30909@sungui.hs.kr,010-1065-7997,010-9646-8314
30910,전수아,s30910@sungui.hs.kr,010-7997-7487,010-8314-7019
31001,류윤서,s31001@sungui.hs.kr,010-7487-6931,010-7019-3175
31002,안건우,s31002@sungui.hs.kr,010-6931-3752,010-3175-2342
31003,윤준서,s31003@sungui.hs.kr,010-3752-2807,010-2342-1536
31004,강서현,s31004@sungui.hs.kr,010-2807-6055,010-1536-4811
31005,권현준,s31005@sungui.hs.kr,010-6055-4528,010-4811-8207
31006,임수민,s31006@sungui.hs.kr,010-4528-9824,010-8207-6644
31007,손채원,s31007@sungui.hs.kr,010-9824-7211,010-6644-1167
31008,송민준,s31008@sungui.hs.kr,010-7211-1089,010-1167-2782
31009,김다현,s31009@sungui.hs.kr,010-1089-9396,010-2782-8419
31010,양다현,s31010@sungui.hs.kr,010-9396-9459,010-8419-2363
31101,양지아,s31101@sungui.hs.kr,010-9459-7738,010-2363-3128
31102,류하윤,s31102@sungui.hs.kr,010-7738-6765,010-3128-3863
31103,안우진,s31103@sungui.hs.kr,010-6765-4144,010-3863-3339
31104,장지민,s31104@sungui.hs.kr,010-4144-7758,010-3339-5120
31105,류지훈,s31105@sungui.hs.kr,010-7758-3576,010-5120-5244
31106,윤주원,s31106@sungui.hs.kr,010-3576-2251,010-5244-2391
31107,최수아,s31107@sungui.hs.kr,010-2251-7368,010-2391-8657
31108,송지아,s31108@sungui.hs.kr,010-7368-7585,010-8657-6152
31109,류민재,s31109@sungui.hs.kr,010-7585-4367,010-6152-7440
31110,임다현,s31110@sungui.hs.kr,010-4367-9336,010-7440-3993
31201,양민재,s31201@sungui.hs.kr,010-9336-4333,010-3993-2909
31202,임도현,s31202@sungui.hs.kr,010-4333-3332,010-2909-5174
31203,조지아,s31203@sungui.hs.kr,010-3332-7625,010-5174-3687
31204,류수아,s31204@sungui.hs.kr,010-7625-7338,010-3687-7026
31205,송서진,s31205@sungui.hs.kr,010-7338-4826,010-7026-4898
31206,한수아,s31206@sungui.hs.kr,010-4826-7376,010-4898-6856
31207,송민서,s31207@sungui.hs.kr,010-7376-5184,010-6856-7735
31208,오도현,s31208@sungui.hs.kr,010-5184-3318,010-7735-2196
31209,조민준,s31209@sungui.hs.kr,010-3318-1012,010-2196-4349
31210,김윤서,s31210@sungui.hs.kr,010-1012-6907,010-4349-3104
31301,안하윤,s31301@sungui.hs.kr,010-6907-6745,010-3104-3423
31302,황시우,s31302@sungui.hs.kr,010-6745-2027,010-3423-5518
31303,박지훈,s31303@sungui.hs.kr,010-2027-3486,010-5518-2142
31304,조서윤,s31304@sungui.hs.kr,010-3486-5693,010-2142-2558
31305,신유진,s31305@sungui.hs.kr,010-5693-8486,010-2558-6970
31306,홍서현,s31306@sungui.hs.kr,010-8486-6172,010-6970-1138
31307,권민준,s31307@sungui.hs.kr,010-6172-1088,010-1138-8159
31308,김윤서,s31308@sungui.hs.kr,010-1088-7052,010-8159-9349
31309,안수아,s31309@sungui.hs.kr,010-7052-7430,010-9349-7120
31310,송시우,s31310@sungui.hs.kr,010-7430-1968,010-7120-8900
31401,박윤서,s31401@sungui.hs.kr,010-1968-6999,010-8900-5571
31402,안하준,s31402@sungui.hs.kr,010-6999-2415,010-5571-4134
31403,최예은,s31403@sungui.hs.kr,010-2415-8968,010-4134-7275
31404,문건우,s31404@sungui.hs.kr,010-8968-3727,010-7275-1742
31405,윤지우,s31405@sungui.hs.kr,010-3727-5754,010-1742-2254
31406,신하은,s31406@sungui.hs.kr,010-5754-6610,010-2254-2335
31407,황현준,s31407@sungui.hs.kr,010-6610-4517,010-2335-1694
31408,임도윤,s31408@sungui.hs.kr,010-4517-1542,010-1694-1036
31409,이선우,s31409@sungui.hs.kr,010-1542-4716,010-1036-5725
31410,한도현,s31410@sungui.hs.kr,010-4716-3323,010-5725-3591
31501,조서현,s31501@sungui.hs.kr,010-3323-6124,010-3591-1251
31502,권우진,s31502@sungui.hs.kr,010-6124-4057,010-1251-9256
31503,장서연,s31503@sungui.hs.kr,010-4057-5319,010-9256-9662
31504,오주원,s31504@sungui.hs.kr,010-5319-2348,010-9662-5606
31505,최지우,s31505@sungui.hs.kr,010-2348-5821,010-5606-8534
31506,신지아,s31506@sungui.hs.kr,010-5821-7667,010-8534-9554
31507,류윤서,s31507@sungui.hs.kr,010-7667-6916,010-9554-7108
31508,안서윤,s31508@sungui.hs.kr,010-6916-5538,010-7108-4677
31509,서수민,s31509@sungui.hs.kr,010-5538-9961,010-4677-8134
31510,손예준,s31510@sungui.hs.kr,010-9961-1788,010-8134-5396
31601,박민서,s31601@sungui.hs.kr,010-1788-5143,010-5396-9357
31602,오하은,s31602@sungui.hs.kr,010-5143-6504,010-9357-2112
31603,황수민,s31603@sungui.hs.kr,010-6504-9790,010-2112-8890
31604,손하준,s31604@sungui.hs.kr,010-9790-2467,010-8890-6180
31605,정은서,s31605@sungui.hs.kr,010-2467-8870,010-6180-7588
31606,고채은,s31606@sungui.hs.kr,010-8870-8316,010-7588-3901
31607,홍은서,s31607@sungui.hs.kr,010-8316-8736,010-3901-7177
31608,고예준,s31608@sungui.hs.kr,010-8736-1785,010-7177-2683
31609,박민재,s31609@sungui.hs.kr,010-1785-4251,010-2683-4318
31610,임민지,s31610@sungui.hs.kr,010-4251-6181,010-4318-5540
